1.422903 0.663511
1.407790 0.717305
1.390645 0.770848
1.228728 0.860365
1.221615 0.887556
1.189967 0.896705
1.197776 0.935806
1.150176 0.931395
1.109423 0.964407
1.067776 0.995718
1.025304 1.025305
0.982077 1.053150
0.938164 1.079235
0.893635 1.103548
0.782870 1.160653
0.767941 1.182526
0.731354 1.217178
0.693277 1.250706
0.653746 1.283050
0.612796 1.314147
0.570467 1.343937
0.526800 1.372363
0.441019 1.538019
0.416698 1.555141
0.384655 1.542770
0.364420 1.578480
0.328500 1.545473
0.311018 1.600052
0.272627 1.546148
0.256552 1.619809
0.201083 1.637701
0.144677 1.653683
-0.957659 2.631139
